;atım;bin;genlik;isoutlier
231;1,0;103,0;6622,0107616232235;0
232;1,0;104,0;7232,4893499692;0
233;1,0;105,0;7980,607290021529;0
234;1,0;106,0;7292,34355265475;0
235;1,0;107,0;6838,1446364784;0
236;1,0;108,0;7136,610123126778;0
237;1,0;109,0;7246,016688174197;0
238;1,0;110,0;6898,980249596314;0
239;1,0;111,0;7484,653742986061;0
240;1,0;112,0;8002,31532850592;0
241;1,0;113,0;8350,886242963987;0
242;1,0;114,0;8291,977021460274;0
243;1,0;115,0;7615,752631085267;0
244;1,0;116,0;7411,642496436714;0
245;1,0;117,0;6100,915515288814;0
246;1,0;118,0;5717,898693616934;0
247;1,0;119,0;5358,439153820069;0
248;1,0;120,0;5654,580389427231;0
249;1,0;121,0;5745,474102438257;0
250;1,0;122,0;5085,802557000281;0
251;1,0;123,0;4564,888595909283;0
252;1,0;124,0;4474,595395809745;0
253;1,0;125,0;4160,906614740509;0
254;1,0;126,0;4595,927911649623;0
255;1,0;127,0;4525,8723587535505;0
256;2,0;0,0;9278,20649184024;0
257;2,0;1,0;9503,266951241894;0
258;2,0;2,0;8796,177459543858;0
259;2,0;3,0;7481,523171328523;0
260;2,0;4,0;6009,608079719002;0
261;2,0;5,0;4616,8418476697525;0
262;2,0;6,0;5007,759013319385;0
263;2,0;7,0;4882,132031332514;0
264;2,0;8,0;5114,5873780282855;0
265;2,0;9,0;5174,740099698521;0
266;2,0;10,0;4532,394917088269;0
267;2,0;11,0;4334,2256088784525;0
268;2,0;12,0;3464,512729159507;0
269;2,0;13,0;2423,001547744308;0
270;2,0;14,0;549,8315406138302;0
271;2,0;15,0;1801,1867355793022;0
272;2,0;16,0;2727,106798458341;0
273;2,0;17,0;3645,6607580581294;0
274;2,0;18,0;2714,965557578687;0
275;2,0;19,0;1842,2847975477487;0
276;2,0;20,0;528,2809944038579;0
277;2,0;21,0;1373,7808866052048;0
278;2,0;22,0;3066,2827696078634;0
279;2,0;23,0;4365,019637706912;0
280;2,0;24,0;4906,527495808241;0
281;2,0;25,0;4650,924412888494;0
282;2,0;26,0;3848,028073437023;0
283;2,0;27,0;3032,418378552212;0
284;2,0;28,0;2857,9313838097846;0
285;2,0;29,0;3137,4393687113493;0
286;2,0;30,0;3211,4483797028447;0
287;2,0;31,0;4342,742675062039;0
288;2,0;32,0;5456,564570962172;0
289;2,0;33,0;6034,612561742317;0
290;2,0;34,0;6576,766132872247;0
291;2,0;35,0;5813,529868880506;0
292;2,0;36,0;5666,75056342373;0
293;2,0;37,0;5222,759227178669;0
294;2,0;38,0;5171,291614399269;0
295;2,0;39,0;5544,698211202694;0
296;2,0;40,0;6397,659732886281;0
297;2,0;41,0;7654,2459684701025;0
298;2,0;42,0;7562,097788548439;0
299;2,0;43,0;7552,759037068199;0
300;2,0;44,0;6496,731679115978;0
301;2,0;45,0;5290,794356179639;0
302;2,0;46,0;3500,975909895791;0
303;2,0;47,0;2492,836322428866;0
304;2,0;48,0;2985,860785550354;0
305;2,0;49,0;3307,9902086524808;0
306;2,0;50,0;4801,929060125438;0
307;2,0;51,0;5672,9090825336125;0
308;2,0;52,0;7101,60039090774;0
309;2,0;53,0;7568,63910609562;0
310;2,0;54,0;7618,945505213128;0
311;2,0;55,0;6595,860664264775;0
312;2,0;56,0;5816,962859613385;0
313;2,0;57,0;6310,131723319811;0
314;2,0;58,0;6497,674598920148;0
315;2,0;59,0;7446,374609117327;0
316;2,0;60,0;7752,005304722508;0
317;2,0;61,0;7899,153903390308;0
318;2,0;62,0;7376,005614453594;0
319;2,0;63,0;6838,309586745352;0
320;2,0;64,0;5482,452451322962;0
321;2,0;65,0;4103,710042916254;0
322;2,0;66,0;2934,0709716198626;0
323;2,0;67,0;3172,3307137975326;0
324;2,0;68,0;2534,8872792283782;0
325;2,0;69,0;2074,940270674118;0
326;2,0;70,0;1408,0730698877626;0
327;2,0;71,0;710,6115867912554;0
328;2,0;72,0;1530,4352315873875;0
329;2,0;73,0;2316,6415819043877;0
330;2,0;74,0;2743,1973355367836;0
331;2,0;75,0;2758,458852918957;0
332;2,0;76,0;2506,6794193848195;0
333;2,0;77,0;1632,926202213016;0
334;2,0;78,0;235,8149024460821;0
335;2,0;79,0;818,4172215451506;0
336;2,0;80,0;2736,6050703807905;0
337;2,0;81,0;3761,932322494492;0
338;2,0;82,0;4636,357988036482;0
339;2,0;83,0;4634,669146930596;0
340;2,0;84,0;4503,724933780626;0
341;2,0;85,0;4660,951753362952;0
342;2,0;86,0;5395,788594678334;0
343;2,0;87,0;6022,060679230298;0
344;2,0;88,0;5796,420467747924;0
345;2,0;89,0;4777,262530071478;0
346;2,0;90,0;4433,193809524505;0
347;2,0;91,0;4500,821313062557;0
348;2,0;92,0;4993,69056703115;0
349;2,0;93,0;4956,5488621593395;0
350;2,0;94,0;4753,642326618204;0
351;2,0;95,0;3328,379915494217;0
352;2,0;96,0;2209,6573822828354;0
353;2,0;97,0;2522,5396825539437;0
354;2,0;98,0;1853,4326872181618;0
355;2,0;99,0;794,8787910734069;0
356;2,0;100,0;764,2370065420049;0
357;2,0;101,0;1564,9026761353016;0
358;2,0;102,0;1803,3938485842732;0
359;2,0;103,0;1711,1566627547977;0
360;2,0;104,0;1137,5727824330284;0
361;2,0;105,0;914,8573867159921;0
362;2,0;106,0;1956,8725133551095;0
363;2,0;107,0;2910,059969375361;0
364;2,0;108,0;2597,9960359591782;0
365;2,0;109,0;1986,2997117600898;0
366;2,0;110,0;2527,727554474111;0
367;2,0;111,0;4084,480835992697;0
368;2,0;112,0;4475,5145138662965;0
369;2,0;113,0;5015,260269038524;0
370;2,0;114,0;4183,524913969935;0
371;2,0;115,0;3616,218036274283;0
372;2,0;116,0;2652,617748308328;0
373;2,0;117,0;3450,5643977493214;0
374;2,0;118,0;5476,857238978351;0
375;2,0;119,0;6897,321937569219;0
376;2,0;120,0;7406,303543750905;0
377;2,0;121,0;6947,005207078488;0
378;2,0;122,0;7334,797899177799;0
379;2,0;123,0;7723,243184756648;0
380;2,0;124,0;9327,733405133175;0
381;2,0;125,0;9466,886723353093;0
382;2,0;126,0;9844,805200763392;1
383;2,0;127,0;9507,626776276074;0
384;3,0;0,0;7167,052943800484;0
385;3,0;1,0;7235,294502881999;0
386;3,0;2,0;7688,225833863256;0
387;3,0;3,0;9789,395964189169;1
388;3,0;4,0;10018,712613120184;1
389;3,0;5,0;9250,195471026987;0
390;3,0;6,0;9144,017888078957;0
391;3,0;7,0;9531,52703347497;0
392;3,0;8,0;9858,216575899522;1
393;3,0;9,0;10121,04938854306;1
394;3,0;10,0;9670,371562936873;1
395;3,0;11,0;7300,3924680338905;0
396;3,0;12,0;5096,675269569308;0
397;3,0;13,0;4302,268188088596;0
398;3,0;14,0;5005,951784948694;0
399;3,0;15,0;4500,0212259275395;0
400;3,0;16,0;4386,024397238974;0
401;3,0;17,0;4631,015298851518;0
402;3,0;18,0;5035,794302613529;0
403;3,0;19,0;5531,248929620562;0
404;3,0;20,0;5345,376030603771;0
405;3,0;21,0;4916,574607712954;0
406;3,0;22,0;4157,376083167782;0
407;3,0;23,0;3768,094305483802;0
408;3,0;24,0;2711,690749120884;0
409;3,0;25,0;2493,1112539320657;0
410;3,0;26,0;1899,724062798752;0
411;3,0;27,0;1732,9896642860076;0
412;3,0;28,0;1878,2060487386225;0
413;3,0;29,0;1975,919363371327;0
414;3,0;30,0;2282,0514262075353;0
415;3,0;31,0;1814,217896741466;0
416;3,0;32,0;901,7091208733176;0
417;3,0;33,0;208,11419339327014;0
418;3,0;34,0;426,9313259438362;0
419;3,0;35,0;806,4405553094385;0
420;3,0;36,0;1886,1909173391068;0
421;3,0;37,0;2157,428552773029;0
422;3,0;38,0;1745,0929217257499;0
423;3,0;39,0;928,9660170901248;0
424;3,0;40,0;1177,286054988109;0
425;3,0;41,0;1190,4676474084658;0
426;3,0;42,0;1506,1838584399134;0
427;3,0;43,0;2353,869797526844;0
428;3,0;44,0;3207,036688650499;0
429;3,0;45,0;3234,894173409086;0
430;3,0;46,0;2756,200127225963;0
431;3,0;47,0;2041,390880979049;0
432;3,0;48,0;2086,7213411543084;0
433;3,0;49,0;2868,864049298574;0
434;3,0;50,0;2617,784825830958;0
435;3,0;51,0;3451,379391428526;0
436;3,0;52,0;3595,4599615459842;0
437;3,0;53,0;3017,9184668665894;0
438;3,0;54,0;2156,66123261392;0
439;3,0;55,0;2134,611701786917;0
440;3,0;56,0;683,2244052309126;0
441;3,0;57,0;1417,631960211642;0
442;3,0;58,0;2664,8075751980778;0
443;3,0;59,0;3310,5265306833926;0
444;3,0;60,0;3579,9236220943317;0
445;3,0;61,0;4359,671243349308;0
446;3,0;62,0;4427,348756484899;0
447;3,0;63,0;4669,348049125601;0
448;3,0;64,0;3187,444479903281;0
449;3,0;65,0;2153,9359635335777;0
450;3,0;66,0;3170,2932319769766;0
451;3,0;67,0;3961,306853502443;0
452;3,0;68,0;3575,736374678855;0
453;3,0;69,0;3409,1250411327824;0
454;3,0;70,0;4228,3497548145515;0
455;3,0;71,0;3666,1551743520804;0
456;3,0;72,0;3748,471748033117;0
457;3,0;73,0;3284,8475422299616;0
458;3,0;74,0;2775,784720887404;0
459;3,0;75,0;3428,5705097824653;0
460;3,0;76,0;5411,302135899852;0
461;3,0;77,0;7547,508026838332;0
462;3,0;78,0;8594,058913044306;0
463;3,0;79,0;8254,176507460737;0
464;3,0;80,0;7492,054761608269;0
465;3,0;81,0;7404,798224050434;0
466;3,0;82,0;7587,626289355675;0
467;3,0;83,0;8185,851268508339;0
468;3,0;84,0;8506,55793946802;0
469;3,0;85,0;6967,100389616005;0
470;3,0;86,0;5497,672402311315;0
471;3,0;87,0;5171,964802234217;0
472;3,0;88,0;5944,147239592968;0
473;3,0;89,0;6816,258092328077;0
474;3,0;90,0;6375,112551204383;0
475;3,0;91,0;5143,469185837063;0
476;3,0;92,0;4226,95747698963;0
477;3,0;93,0;2620,949746272822;0
478;3,0;94,0;2329,805460125751;0
479;3,0;95,0;2857,916950971067;0
480;3,0;96,0;3086,01114068192;0
481;3,0;97,0;2861,8790200026424;0
482;3,0;98,0;2479,049292036005;0
483;3,0;99,0;2532,200611147884;0
484;3,0;100,0;2291,3570927243427;0
485;3,0;101,0;3464,0413701335815;0
486;3,0;102,0;4174,957772533408;0
487;3,0;103,0;5047,050485071232;0
488;3,0;104,0;5400,642402195941;0
489;3,0;105,0;5452,791048311164;0
